timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701925569509,537,HTTP Request,200,OK,Thread Group 1-1,text,true,,44804,118,3,3,https://www.amazon.in/,291,0,112
1701925569768,375,HTTP Request,200,OK,Thread Group 1-2,text,true,,42312,118,2,2,https://www.amazon.in/,369,0,67
1701925570017,477,HTTP Request,200,OK,Thread Group 1-3,text,true,,44834,118,2,2,https://www.amazon.in/,228,0,58
1701925570263,499,HTTP Request,200,OK,Thread Group 1-4,text,true,,44795,118,2,2,https://www.amazon.in/,253,0,76
1701925570512,482,HTTP Request,200,OK,Thread Group 1-5,text,true,,42313,118,1,1,https://www.amazon.in/,234,0,57
